Name,population
南园街道,121231
园岭街道,99858
福田街道,283052
沙头街道,265155
香蜜湖街道,156220
梅林街道,205165
莲花街道,183357
华富街道,59995
福保街道,123498
华强北街道,55694
黄贝街道,182772
南湖街道,96278
桂园街道,99831
东门街道,87129
笋岗街道,92054
清水河街道,117884
翠竹街道,134365
东晓街道,107269
东湖街道,98031
莲塘街道,128188
南头街道,238956
南山街道,332222
西丽街道,287565
沙河街道,165707
蛇口街道,151687
招商街道,131962
粤海街道,240224
桃源街道,247503
新安街道,585317
西乡街道,855145
航城街道,301314
福永街道,318847
福海街道,403152
沙井街道,548251
新桥街道,364696
松岗街道,386440
燕罗街道,199040
石岩街道,514352
光明街道,111410
公明街道,201514
新湖街道,124516
凤凰街道,155086
玉塘街道,213178
马田街道,297801
观湖街道,278651
民治街道,616878
龙华街道,611913
大浪街道,468510
福城街道,334021
观澜街道,218899
平湖街道,400171
布吉街道,450197
吉华街道,241137
坂田街道,541615
南湾街道,419515
横岗街道,287747
园山街道,250281
龙岗街道,354983
龙城街道,500765
宝龙街道,331169
坪地街道,221414
梅沙街道,18117
盐田街道,91723
沙头角街道,46753
海山街道,57632
坪山街道,126027
坑梓街道,116121
龙田街道,112912
石井街道,44920
马峦街道,91214
碧岭街道,60139
葵涌街道,81656
大鹏街道,57402
南澳街道,17178
