district,name,house_price_level
福田,南园街道,high
福田,园岭街道,high
福田,福田街道,high
福田,沙头街道,high
福田,香蜜湖街道,high
福田,梅林街道,high
福田,莲花街道,high
福田,华富街道,high
福田,福保街道,high
福田,华强北街道,high
罗湖,黄贝街道,high
罗湖,南湖街道,high
罗湖,桂园街道,high
罗湖,东门街道,high
罗湖,笋岗街道,high
罗湖,清水河街道,high
罗湖,翠竹街道,high
罗湖,东晓街道,high
罗湖,东湖街道,high
罗湖,莲塘街道,high
南山,南头街道,high
南山,南山街道,high
南山,西丽街道,high
南山,沙河街道,high
南山,蛇口街道,high
南山,招商街道,high
南山,粤海街道,high
南山,桃源街道,high
宝安,新安街道,medium
宝安,西乡街道,medium
宝安,航城街道,medium
宝安,福永街道,medium
宝安,福海街道,medium
宝安,沙井街道,medium
宝安,新桥街道,medium
宝安,松岗街道,medium
宝安,燕罗街道,medium
宝安,石岩街道,medium
光明,光明街道,medium
光明,公明街道,medium
光明,新湖街道,medium
光明,凤凰街道,medium
光明,玉塘街道,medium
光明,马田街道,medium
龙华,观湖街道,medium
龙华,民治街道,medium
龙华,龙华街道,medium
龙华,大浪街道,medium
龙华,福城街道,medium
龙华,观澜街道,medium
龙岗,平湖街道,low
龙岗,布吉街道,low
龙岗,吉华街道,low
龙岗,坂田街道,low
龙岗,南湾街道,low
龙岗,横岗街道,low
龙岗,园山街道,low
龙岗,龙岗街道,low
龙岗,龙城街道,low
龙岗,宝龙街道,low
龙岗,坪地街道,low
盐田,梅沙街道,medium
盐田,盐田街道,medium
盐田,沙头角街道,medium
盐田,海山街道,medium
坪山,坪山街道,low
坪山,坑梓街道,low
坪山,龙田街道,low
坪山,石井街道,low
坪山,马峦街道,low
坪山,碧岭街道,low
大鹏,葵涌街道,low
大鹏,大鹏街道,low
大鹏,南澳街道,low
