,name,lat,lng,district
0,福田红树林生态公园,22.516544,114.046887,福田区
1,皇岗公园,22.523863,114.06455,福田区
2,深圳中心公园,22.558082,114.084904,福田区
3,笔架山公园,22.568123,114.086519,福田区
4,荔枝公园,22.551853,114.109029,福田区
5,莲花山公园,22.559257,114.065193,福田区
6,彩田公园,22.568549,114.071409,福田区
7,梅林山公园,22.56798,114.036586,福田区
8,香蜜公园,22.55278,114.028539,福田区
9,翠竹公园,22.570007,114.140833,罗湖区
10,人民公园,22.55949,114.12365,罗湖区
11,深圳市儿童公园,22.559966,114.130772,罗湖区
12,深圳市围岭公园,22.589951,114.133772,罗湖区
13,东湖公园,22.569908,114.155375,罗湖区
14,洪湖公园,22.572204,114.12688,罗湖区
15,荔林公园,22.514615,113.916652,南山区
16,月亮湾公园,22.507011,113.905251,南山区
17,南山公园,22.500143,113.912003,南山区
18,荔香公园,22.542587,113.936067,南山区
19,大沙河公园,22.562929,113.968342,南山区
20,石鼓山公园,22.584067,113.956959,南山区
21,松坪山公园,22.564164,113.953899,南山区
22,文天祥纪念公园,22.481542,113.907271,南山区
23,四海公园,22.501749,113.933514,南山区
24,盐田中央公园,22.559063,114.246034,盐田区
25,大梅沙海滨公园,22.598165,114.314017,盐田区
26,翠岗公园,22.670773,113.828132,宝安区
27,大王山公园,22.71947,113.815106,宝安区
28,罗租岭公园,22.681548,113.942839,宝安区
29,五指耙公园,22.750311,113.88196,宝安区
30,平峦山公园,22.614543,113.88299,宝安区
31,南昌公园,22.602015,113.847688,宝安区
32,铁仔山公园,22.600843,113.866715,宝安区
33,碧海湾公园,22.590213,113.859334,宝安区
34,宝安公园,22.592267,113.909263,宝安区
35,大钟山公园,22.725616,113.829607,宝安区
36,黄金山公园,22.644494,114.071351,龙岗区
37,八仙岭公园,22.722038,114.284191,龙岗区
38,横岗人民公园,22.652708,114.215751,龙岗区
39,龙岗区大运公园,22.691806,114.209942,龙岗区
40,龙城公园,22.718987,114.232703,龙岗区
41,龙园公园,22.738049,114.274095,龙岗区
42,红花岭公园,22.761138,114.256773,龙岗区
43,凤凰山国家矿山公园,22.707593,114.14402,龙岗区
44,龙华公园,22.663545,114.023326,龙华区
45,南园公园,22.613951,114.041555,龙华区
46,坪山光祖公园,22.741103,114.383843,坪山区
47,燕子岭生态公园,22.704109,114.364619,坪山区
48,坪山公园,22.694206,114.350082,坪山区
49,深圳市坪山区中心公园,22.71398,114.354629,坪山区
50,光明开明公园,22.755449,113.935636,光明区
51,明湖城市公园,22.743608,113.899974,光明区
52,红花山公园,22.787192,113.908056,光明区
53,光明新城公园,22.752777,113.946431,光明区
54,翠湖公园,22.771793,113.952481,光明区
55,荔山公园,22.799448,113.962854,光明区
56,锣鼓山公园,22.59653,114.492747,龙岗区
57,禾塘山水公园,22.645325,114.4259,龙岗区
58,大鹏半岛国家地质公园,22.534094,114.536369,龙岗区
59,枫浪山公园,22.535705,114.503306,龙岗区
60,观音山公园,22.59073,114.463006,龙岗区
61,葵涌公园,22.635198,114.437141,龙岗区
62,罗田森林公园,22.830066,113.893225,宝安区
63,大雁山公园,22.716519,113.923725,光明区
64,光明森林公园,22.771213,113.974658,光明区
65,松子坑森林公园,22.729104,114.368488,坪山区
66,章阁城市公园,22.749189,114.018502,龙华区
67,樟坑径城市公园,22.686003,114.088045,龙华区
68,深圳湾公园,22.52837,114.003481,福田区
