,name,lat,lng,district
0,华润万家(龙华店),22.660378,114.027651,龙华区
1,华润万家(益田店),22.529075,114.063573,福田区
2,华润万家(沙井店),22.734317,113.834571,宝安区
3,华润万家(横岗店),22.643722,114.198062,龙岗区
4,华润万家(宝安店),22.566492,113.911443,宝安区
5,华润万家(侨香店),22.557031,114.020331,福田区
6,华润万家(春风店),22.547596,114.133568,罗湖区
7,华润万家(莲塘店),22.568716,114.17572,罗湖区
8,华润万家(西丽店),22.576398,113.966218,南山区
9,华润万家(深盐店),22.560799,114.245247,盐田区
10,华润万家(世贸百货店)-停车场,22.723648,114.252744,龙岗区
11,华润万家(喜港城店)-正门,22.770588,113.850045,宝安区
12,华润万家(下水径店),22.624064,114.116915,龙岗区
13,华润万家(民乐店),22.606493,114.054188,龙华区
14,华润万家(福星店),22.542162,114.089502,福田区
15,华润万家(翠竹店),22.565818,114.135893,罗湖区
16,华润万家(龙城店),22.725171,114.260583,龙岗区
17,深圳华润万家欢乐颂店2楼曼妮芬,22.540851,113.926378,南山区
18,华润万家(宝安中心店),22.562706,113.884243,宝安区
20,华润万家(银湖店),22.576726,114.095688,罗湖区
21,来电(华润万家布吉百鸽笼店),22.599462,114.137553,龙岗区
22,华润万家(莲花北店),22.564921,114.060654,福田区
23,华润万家(天安云谷店),22.664916,114.074523,龙岗区
24,华润万家(深汕路店),22.699155,114.344335,坪山区
26,华润万家(梅林一村店),22.57075,114.04438,福田区
27,华润万家(红岭店),22.561385,114.109871,福田区
28,华润万家(宏发领域店),22.562964,113.897225,宝安区
29,华润万家(深圳龙岗天安数码店),22.727089,114.223586,龙岗区
30,华润万家(南湾店),22.613227,114.162571,龙岗区
31,华润万家(大唐时代分店),22.67071,114.048466,龙华区
32,华润万家(梅陇镇店),22.637225,114.037116,龙华区
33,华润万家(吉祥路店),22.736344,114.244121,龙岗区
34,华润万家(深南大道店),22.543355,114.032833,福田区
35,华润万家(欢乐海岸店),22.532235,113.995298,南山区
36,华润万家(摩尔城店),22.728642,114.27467,龙岗区
37,华润万家便利超市(壹航城店),22.636664,113.841164,宝安区
38,华润万家(四季花城3分店),22.62927,114.065534,龙岗区
39,华润万家(松坪山店),22.564366,113.962253,南山区
40,华润万家(吉莲店),22.563874,114.055272,福田区
41,华润万家(方鼎店),22.556064,113.930201,南山区
42,华润万家(新时代店),22.488211,113.919526,南山区
43,华润万家(沙园路店),22.706435,114.226397,龙岗区
44,华润万家(宏发君域店),22.783477,113.846635,宝安区
45,华润万家便利超市(东港印象分店),22.598261,114.255891,盐田区
46,华润万家(龙园店),22.594521,114.117489,罗湖区
48,华润万家(李朗国际珠宝产业园店),22.648799,114.131588,龙岗区
49,华润万家(美莲店),22.560401,114.076533,福田区
50,华润万家(海源城一分店),22.688241,114.132536,龙岗区
51,华润万家(深圳黄金大厦店),22.581604,113.895458,宝安区
52,华润万家(碧华店),22.569821,114.055326,福田区
53,华润万家便利超市(悠山美地分店),22.67198,114.000544,龙华区
54,华润万家(南方店),22.553996,114.155853,罗湖区
55,华润万家(宝安店)-正门,22.566325,113.911435,宝安区
56,华润万家(凤凰店),22.558536,114.141058,罗湖区
57,华润万家(赤湾六路店),22.485818,113.897739,南山区
58,华润万家便利超市(青橙时代店),22.589467,114.144559,罗湖区
59,华润万家(新闻路店),22.547276,114.051955,福田区
60,华润万家(桂芳园二店),22.622148,114.148169,龙岗区
61,华润万家便利超市(民治店),22.621637,114.052023,龙华区
62,华润万家(中海怡翠店),22.629854,114.115942,龙岗区
63,华润万家(慢城店),22.629625,114.137774,龙岗区
64,华润万家便利超市(海语山林店),22.635193,114.421863,龙岗区
65,华润万家龙华配送中心(南区物流深圳配送中心店),22.683018,114.039471,龙华区
67,华润万家便利超市(汇龙店),22.579551,114.070274,福田区
68,华润万家便利超市(深圳熙和园店),22.733859,114.236875,龙岗区
69,华润万家(登良路店),22.517555,113.930565,南山区
70,华润万家便利超市(同心店),22.767357,114.327119,龙岗区
72,华润万家(东方沁园店),22.731217,114.230532,龙岗区
73,华润万家便利超市(第五园店),22.622032,114.075193,龙岗区
74,华润万家便利超市(清林径店),22.755263,114.236945,龙岗区
75,华润万家(华清园店),22.559426,114.158222,罗湖区
76,华润万家便利超市(文汇店),22.577247,113.902889,宝安区
78,华润万家便利超市(龙禧分店),22.74587,114.250746,龙岗区
79,华润万家便利超市(五联店),22.752047,114.240425,龙岗区
80,华润万家便利超市(锦绣店),22.540402,114.002403,南山区
81,华润万家(水山缘店),22.60625,114.147298,龙岗区
82,华润万家龙岗配送中心,22.702591,114.32091,龙岗区
83,华润万家便利超市(翠枫店),22.617799,114.10888,龙岗区
84,华润万家便利超市(支六路店),22.49558,113.948922,南山区
85,华润万家(麓园店),22.738238,114.226041,龙岗区
86,华润万家便利超市(二十四区六巷店),22.703813,113.819098,宝安区
